Player,Pick #,RPG,APG,SPG,BPG,PPG,SOS,TS%,FTr,Height,Weight,Age,All-NBA 
Speedy Claxton,20,5.4,6.0,3.3,0.2,22.8,-6.03,.560,.362,71,166,22,0
Jason Richardson,5,5.9,2.2,1.2,0.8,14.7,9.54,.589,.293,78,220,20,0
Shane Battier,6,7.3,1.8,2.1,2.3,19.9,11.97,.624,.358,80,220,23,0
Eddie Griffin,7,10.8,1.6,0.9,4.4,17.8,6.03,.501,.227,82,220,19,0
Rodney White,9,6.5,1.5,1.2,0.7,18.7,7.91,.566,.415,81,238,21,0
Joe Johnson,10,6.4,2.6,1.4,0.4,14.2,6.16,.549,.263,80,225,20,1
Richard Jefferson,13,5.4,2.7,0.8,0.8,11.3,12.56,.553,.358,79,222,21,0
Troy Murphy,14,9.2,2.1,0.9,1.7,21.8,5.68,.560,.488,83,245,21,0
Steven Hunter,15,5.6,0.5,0.2,2.4,11.4,8.02,.587,.536,84,220,20,0
Kirk Haston,16,8.7,1.2,1.1,1.2,19.0,11.05,.496,.301,81,242,22,0
Michael Bradley,17,9.8,2.6,0.9,1.8,20.8,6.45,.690,.578,82,245,22,0
Jason Collins,18,7.8,1.5,0.8,1.3,14.5,9.86,.687,.683,84,255,23,0
Zach Randolph,19,6.7,1.0,0.7,0.7,10.8,9.54,.604,.536,81,253,20,1
Brendan Haywood,20,7.3,1.3,0.5,3.6,12.3,11.77,.580,.702,84,268,22,0
Jay Williams,2,3.5,5.3,2.2,0.1,21.3,9.16,.580,.380,74,195,21,0
Mike Dunleavy,3,3.2,4.2,1.5,0.1,14.7,0.98,.547,.468,75,180,22,0
Drew Gooden,4,11.4,2.0,1.8,1.4,19.8,9.35,.554,.360,82,230,21,0
Dajuan Wagner,6,2.5,3.6,1.2,0.6,21.2,4.72,.504,.355,74,200,19,0
Chris Wilcox,8,7.1,1.5,0.8,1.5,12.0,9.38,.523,.429,82,221,20,0
Caron Butler,10,7.5,3.0,2.1,0.4,20.3,7.43,.561,.382,79,217,22,0
Jared Jeffries,11,7.6,2.1,1.5,1.3,15.0,12.08,.529,.486,83,230,21,0
Melvin Ely,12,9.1,1.8,0.7,3.1,23.3,5.20,.603,.501,82,260,24,0
Marcus Haislip,13,6.7,1.0,0.4,1.8,16.7,10.93,.573,.357,82,230,22,0
Fred Jones,14,5.4,3.2,1.8,0.5,18.6,6.93,.643,.470,76,210,23,0
Juan Dixon,17,4.6,2.9,2.6,0.2,20.4,9.38,.603,.293,75,164,24,0
Curtis Borchardt,18,11.4,2.0,0.6,2.9,16.9,9.03,.622,.694,84,240,22,0
Ryan Humphrey,19,10.9,2.6,1.1,2.8,18.9,6.17,.516,.432,80,235,23,0
Kareem Rush,20,5.2,2.5,1.1,0.6,19.8,6.81,.549,.229,78,215,22,0
Carmelo Anthony,3,10.0,2.2,1.6,0.9,22.2,9.02,.537,.389,80,230,19,1
Chris Bosh,4,9.0,1.2,1.0,2.2,15.6,7.94,.634,.580,82,228,19,1
Dwyane Wade,5,6.3,4.4,2.2,1.3,21.5,7.28,.573,.497,76,212,21,1
Chris Kaman,6,12.0,1.2,0.6,3.2,22.4,1.79,.664,.702,84,268,21,0
Kirk Hinrich,7,3.8,3.5,1.9,0.4,17.3,10.53,.586,.256,75,190,22,0
T.J. Ford,8,3.9,7.7,2.0,0.2,15.0,9.27,.506,.489,72,165,20,0
Mike Sweetney,9,10.4,1.9,1.5,3.2,22.8,6.27,.604,.696,80,275,21,0
